0,1,2,3,4
7,6,66.0,1,0
1,7,89.0,6,0
6,6,63.0,6,0
7,9,79.0,1,0
7,5,72.0,1,0
6,8,37.0,4,0
6,10,57.0,1,0
6,0,51.0,1,1
6,6,71.0,1,0
6,4,76.0,1,0
6,10,85.0,1,0
6,4,54.0,1,0
6,10,88.0,1,0
6,3,68.0,1,1
7,10,93.0,1,1
7,8,81.0,6,0
7,10,57.0,1,0
7,10,91.0,1,1
7,6,76.0,1,1
6,8,48.0,6,0
7,11,82.0,1,0
6,6,42.0,1,1
7,9,73.0,6,0
1,2,80.0,6,0
6,10,82.0,1,1
6,10,57.0,1,0
6,0,30.0,1,0
6,0,87.0,1,1
1,7,90.0,6,0
6,10,73.0,1,0
7,10,49.0,1,0
1,7,93.0,6,0
7,7,48.0,6,0
7,6,64.0,1,0
5,7,90.0,4,0
6,2,26.0,1,0
7,8,64.0,1,0
5,7,88.0,4,0
7,4,73.0,1,0
6,1,34.0,1,0
6,4,65.0,1,0
6,1,76.0,1,0
6,7,92.0,6,0
6,10,48.0,1,0
7,4,90.0,1,0
6,0,74.0,6,0
7,7,62.0,6,0
7,2,64.0,6,0
6,7,94.0,6,1
6,4,69.0,1,0
6,10,86.0,1,1
7,6,55.0,1,0
6,6,51.0,6,0
6,8,86.0,6,0
7,7,74.0,6,0
6,2,53.0,6,0
7,11,82.0,6,0
6,0,61.0,6,0
1,8,83.0,4,0
7,11,75.0,6,0
1,6,84.0,1,0
7,10,78.0,1,0
6,6,90.0,1,0
6,2,68.0,6,0
7,10,46.0,1,0
6,10,56.0,1,0
7,5,75.0,1,0
6,6,85.0,1,0
7,10,85.0,1,0
6,4,66.0,1,0
7,7,54.0,6,0
6,10,55.0,1,0
6,6,62.0,1,0
7,0,78.0,1,1
6,0,27.0,1,0
7,6,49.0,1,0
