Nombre,Plataforma,Genero,V_Global,Score,ESRB,Exito
Street Fighter EX3,PS2,Fighting,0.85,64.0,T,0
Final Fantasy IX,PS,Role-Playing,5.3,94.0,T,1
Strider 2,PS,Platform,0.08,69.0,E,0
NBA Live 2001,PS,Sports,1.25,86.0,E,1
Driving Emotion Type-S,PS2,Racing,0.18,55.0,E,0
007 Racing,PS,Racing,0.53,51.0,T,0
Medal of Honor: Underground,PS,Shooter,0.97,86.0,T,0
Summoner,PS2,Role-Playing,0.51,74.0,T,0
Ultimate Fighting Championship,PS,Fighting,0.25,53.0,T,0
Ring of Red,PS2,Strategy,0.11,82.0,T,0
007: The World is not Enough,PS,Action,0.92,61.0,T,0
The Typing of the Dead,DC,Shooter,0.05,83.0,M,0
Kessen,PS2,Strategy,0.95,75.0,T,0
Sega GT,DC,Racing,0.13,84.0,E,0
Swing Away Golf,PS2,Sports,0.52,78.0,E,0
Colin McRae Rally 2.0,PS,Racing,0.91,90.0,E,0
Ready 2 Rumble Boxing: Round 2,PS,Fighting,0.52,68.0,T,0
Surfing H3O,PS2,Sports,0.25,46.0,E,0
Cool Boarders 2001,PS,Sports,0.41,56.0,E,0
Super Bust-A-Move,PS2,Puzzle,0.34,75.0,E,0
Rollcage Stage II,PS,Racing,0.09,85.0,E,0
NHL 2001,PS2,Sports,0.96,85.0,E,0
Disney's The Emperor's New Groove,PS,Platform,0.31,66.0,E,0
Orphen: Scion of Sorcery,PS2,Role-Playing,0.31,54.0,T,0
NCAA Final Four 2001,PS,Sports,0.16,55.0,E,0
NASCAR Heat,PS,Racing,0.39,62.0,E,0
Ridge Racer V,PS2,Action,1.24,78.0,E,1
Animorphs: Shattered Reality,PS,Action,0.06,27.0,E,0
RC Revenge Pro,PS2,Racing,0.17,49.0,E,0
Atari Anniversary Edition Redux,PS,Misc,0.18,72.0,E,0
Driver 2,PS,Action,4.73,62.0,T,1
Breath of Fire IV,PS,Role-Playing,0.56,83.0,T,0
Tony Hawk's Pro Skater 2,PS,Sports,4.68,98.0,T,1
NFL Fever 2002,XB,Sports,0.99,79.0,E,0
Ready 2 Rumble Boxing: Round 2,PS2,Fighting,0.81,75.0,T,0
Tales of Destiny II,PS,Role-Playing,0.81,78.0,T,0
Star Trek: Invasion,PS,Simulation,0.26,76.0,E,0
World Destruction League: Thunder Tanks,PS,Action,0.17,35.0,T,0
Knockout Kings 2001,PS,Fighting,0.41,84.0,T,0
The Bouncer,PS2,Action,0.99,66.0,T,0
NASCAR 2001,PS,Racing,0.81,73.0,E,0
NHL FaceOff 2001,PS,Sports,0.23,78.0,E,0
Romance of the Three Kingdoms VII,PS2,Strategy,0.32,72.0,E,0
Dynasty Warriors 2,PS2,Action,0.83,75.0,T,0
Madden NFL 2001,PS,Sports,1.67,90.0,E,1
WTA Tour Tennis,PS2,Sports,0.05,50.0,E,0
Max Payne,PC,Shooter,0.02,89.0,M,0
Lady Sia,GBA,Platform,0.11,73.0,E,0
Rez,PS2,Shooter,0.05,78.0,E,0
Jade Cocoon 2,PS2,Role-Playing,0.1,76.0,T,0
Cossacks: European Wars,PC,Strategy,0.03,74.0,T,0
Crazy Taxi,PS2,Racing,2.52,80.0,T,1
GT Advance 2: Rally Racing,GBA,Racing,0.11,77.0,E,0
NHL Hitz 20-02,XB,Sports,0.27,79.0,E,0
Diablo II: Lord of Destruction,PC,Role-Playing,1.06,87.0,M,1
Sonic Adventure 2 Battle,GC,Platform,2.56,73.0,E,1
NBA ShootOut 2001,PS2,Sports,0.15,54.0,E,0
Project Gotham Racing,XB,Racing,2.12,85.0,E,1
SplashDown,PS2,Racing,0.7,84.0,E,0
Hoshigami: Ruining Blue Earth,PS,Role-Playing,0.05,62.0,E,0
Dave Mirra Freestyle BMX: Maximum Remix,PS,Sports,0.27,67.0,E,0
Iridion 3D,GBA,Shooter,0.46,53.0,E,0
