Nombre,Plataforma,Genero,V_Global,Score,ESRB,Exito
Flipper Critters,DS,Simulation,0.03,60.0,E,0
Resident Evil: The Umbrella Chronicles,Wii,Action,1.52,75.0,M,1
Underground Pool,DS,Sports,0.03,40.0,E,0
Hellgate: London,PC,Role-Playing,0.02,70.0,M,0
Pro Evolution Soccer 2008,PS3,Sports,1.59,74.0,E,1
Sonic and the Secret Rings,Wii,Platform,2.73,69.0,E,1
Combat Mission: Shock Force,PC,Strategy,0.03,62.0,T,0
Chicken Hunter,DS,Shooter,0.02,39.0,E10+,0
Heavenly Sword,PS3,Action,1.65,79.0,T,1
Jackass the Game,PSP,Action,0.22,58.0,M,0
Cooking Mama: Cook Off,Wii,Simulation,2.89,61.0,E,1
MySims,Wii,Simulation,1.65,68.0,E,1
Spider-Man 3,PC,Platform,0.02,62.0,T,0
Dragon Ball Z: Budokai Tenkaichi 3,PS2,Fighting,3.0,73.0,T,1
Smarty Pants,Wii,Misc,1.43,65.0,E,1
Dinosaur King,DS,Strategy,0.22,61.0,E,0
WWE SmackDown vs Raw 2008,X360,Fighting,1.43,71.0,T,1
My Word Coach,DS,Misc,1.44,71.0,E,1
SingStar Pop,PS2,Misc,1.44,73.0,E10+,1
Pet Alien: An Intergalactic Puzzlepalooza,DS,Action,0.03,58.0,E,0
Women's Volleyball Championship,PS2,Sports,0.03,32.0,E,0
Clive Barker's Jericho,PS3,Shooter,0.2,60.0,M,0
Mario Strikers Charged,Wii,Sports,2.58,79.0,E10+,1
Guitar Hero III: Legends of Rock,PC,Misc,0.02,79.0,T,0
Nervous Brickdown,DS,Puzzle,0.02,70.0,E,0
Naruto Shippuden: Ninja Council 4,DS,Action,0.22,49.0,E10+,0
Touch the Dead,DS,Shooter,0.22,56.0,M,0
Mass Effect,X360,Role-Playing,2.91,91.0,M,1
Dragon Quest IV: Chapters of the Chosen,DS,Role-Playing,1.62,80.0,E10+,1
Meteos: Disney Magic,DS,Puzzle,0.04,74.0,E,0
Supreme Commander: Forged Alliance,PC,Strategy,0.04,81.0,E10+,0
Cube,PSP,Puzzle,0.02,60.0,E,0
World of Warcraft: The Burning Crusade,PC,Role-Playing,4.09,91.0,T,1
God of War II,PS2,Action,4.07,93.0,M,1
The Orange Box,X360,Shooter,1.82,96.0,M,1
Thrillville: Off the Rails,DS,Strategy,0.04,59.0,E,0
Forza Motorsport 2,X360,Racing,4.05,90.0,E,1
Viva Pinata: Party Animals,X360,Misc,0.23,56.0,E,0
Carnival Games,Wii,Misc,4.05,56.0,E,1
WWE SmackDown vs Raw 2008,PSP,Fighting,1.19,68.0,T,1
Lost in Blue 3,DS,Adventure,0.17,59.0,E10+,0
Dead Head Fred,PSP,Action,0.04,75.0,M,0
Godzilla Unleashed,Wii,Fighting,0.16,44.0,E10+,0
Pocket Pool,PSP,Action,0.04,37.0,M,0
Gears of War,PC,Shooter,0.02,87.0,M,0
Professor Layton and the Diabolical Box,DS,Puzzle,3.94,84.0,E10+,1
Zoey 101: Field Trip Fiasco,DS,Action,0.02,31.0,E,0
Need for Speed: ProStreet,PC,Racing,0.04,70.0,E10+,0
The Sims 2: Castaway,Wii,Simulation,1.2,73.0,T,1
Need for Speed: ProStreet,PS2,Racing,2.41,62.0,E10+,1
Metroid Prime 3: Corruption,Wii,Shooter,1.79,90.0,T,1
Smash Court Tennis 3,PSP,Sports,0.04,68.0,E,0
Enemy Territory: Quake Wars,PC,Shooter,0.02,84.0,T,0
The Godfather: Blackhand Edition,Wii,Adventure,0.15,77.0,M,0
Hot Shots Golf: Out of Bounds,PS3,Sports,1.14,81.0,E,1
FIFA Soccer 08,PC,Sports,0.02,77.0,E,0
Ninja Gaiden Sigma,PS3,Action,1.14,88.0,M,1
Rayman Raving Rabbids 2,Wii,Misc,1.83,67.0,E10+,1
Call of Duty 4: Modern Warfare,PC,Shooter,1.15,92.0,M,1
Castle of Shikigami III,Wii,Shooter,0.04,67.0,T,0
Konami Classics Series: Arcade Hits,DS,Misc,0.03,76.0,E10+,0
Test Drive Unlimited,PC,Racing,0.02,79.0,T,0
Medal of Honor Heroes 2,PSP,Shooter,1.15,69.0,T,1
NASCAR 08,PS2,Racing,0.24,56.0,E,0
Madden NFL 08,X360,Sports,2.37,85.0,E,1
Sonic Rush Adventure,DS,Platform,1.15,78.0,E,1
City Life: World Edition,PC,Simulation,0.04,75.0,E,0
Final Fantasy Tactics: The War of the Lions,PSP,Role-Playing,1.16,88.0,T,1
Conan,X360,Action,0.19,69.0,M,0
All-Pro Football 2K8,PS3,Sports,0.15,73.0,E10+,0
Gran Turismo 5 Prologue,PS3,Racing,4.19,80.0,E,1
Medal of Honor: Airborne,PS3,Shooter,1.21,75.0,T,1
Final Fantasy IV,DS,Simulation,1.21,85.0,E10+,1
Disney's Meet the Robinsons,DS,Action,0.02,64.0,E10+,0
Rockstar Games presents Table Tennis,Wii,Sports,1.26,68.0,E,1
Samurai Warriors 2: Empires,X360,Action,0.04,53.0,T,0
Cooking Mama 2: Dinner With Friends,DS,Simulation,3.58,70.0,E,1
Surf's Up,PS3,Sports,0.04,59.0,E10+,0
Deal or No Deal,DS,Misc,1.7,20.0,E,1
SWAT: Target Liberty,PSP,Shooter,0.04,50.0,T,0
EA Playground,Wii,Sports,1.29,66.0,E,1
Empire Earth III,PC,Strategy,0.04,50.0,T,0
Mortal Kombat: Armageddon,Wii,Fighting,0.23,71.0,M,0
Namco Museum DS,DS,Misc,1.29,67.0,E,1
Resident Evil 4,PC,Action,0.03,76.0,M,0
NCAA March Madness 08,X360,Sports,0.21,69.0,E,0
NBA 08,PSP,Sports,0.03,75.0,E,0
Brothers In Arms DS,DS,Shooter,0.04,72.0,T,0
TMNT,DS,Action,0.04,42.0,E10+,0
Ratatouille,GBA,Action,0.2,65.0,E,0
The Fast and the Furious,PSP,Racing,0.02,58.0,T,0
Company of Heroes: Opposing Fronts,PC,Strategy,0.04,87.0,M,0
Game Party,Wii,Misc,2.48,25.0,E,1
Pro Evolution Soccer 2008,PS2,Sports,3.63,82.0,E,1
Overlord,PC,Strategy,0.02,81.0,T,0
Balls of Fury,Wii,Sports,0.02,19.0,E10+,0
Arcana Heart,PS2,Fighting,0.16,77.0,T,0
Flash Focus: Vision Training in Minutes a Day,DS,Misc,3.83,59.0,E,1
Diddy Kong Racing DS,DS,Racing,1.22,63.0,E,1
Big Brain Academy: Wii Degree,Wii,Misc,3.79,68.0,E,1
Super Paper Mario,Wii,Platform,3.71,85.0,E,1
Dementium: The Ward,DS,Shooter,0.17,72.0,M,0
Ben 10: Protector of Earth,Wii,Action,1.23,63.0,E10+,1
SoulCalibur Legends,Wii,Action,0.18,52.0,T,0
College Hoops 2K7,PS3,Sports,0.18,81.0,E,0
Looney Tunes: Acme Arsenal,Wii,Action,0.23,27.0,E10+,0
FIFA Soccer 08,PS3,Sports,1.75,81.0,E,1
Winter Sports: The Ultimate Challenge,Wii,Sports,1.24,52.0,E,1
NASCAR 08,PS3,Racing,0.23,57.0,E,0
Crackdown,X360,Shooter,1.75,83.0,M,1
MySims,DS,Simulation,3.66,67.0,E,1
Warriors Orochi,X360,Action,0.2,53.0,T,0
Tom Clancy's Rainbow Six: Vegas,PS3,Shooter,1.25,86.0,M,1
Guilty Gear XX Accent Core,Wii,Fighting,0.04,75.0,T,0
Jewel Quest: Expeditions,DS,Puzzle,0.22,68.0,E,0
Prince of Persia: Rival Swords,PSP,Action,0.11,74.0,T,0
Domino Rally,Wii,Action,0.05,57.0,E,0
Clive Barker's Jericho,X360,Shooter,0.32,63.0,M,0
Dance Dance Revolution Universe 2,X360,Simulation,0.5,65.0,E10+,0
Test Drive Unlimited,PSP,Racing,0.5,80.0,E10+,0
Final Fantasy II Anniversary Edition,PSP,Role-Playing,0.5,63.0,T,0
Picross DS,DS,Puzzle,0.5,83.0,E,0
Crash of the Titans,X360,Action,0.32,65.0,E10+,0
7 Wonders of the Ancient World,DS,Puzzle,0.13,60.0,E,0
Shrek the Third,PSP,Action,0.31,57.0,E10+,0
MLB 07: The Show,PS3,Sports,0.31,77.0,E,0
Ratatouille,Wii,Action,0.5,62.0,E,0
Fishing Master,Wii,Misc,0.31,58.0,E,0
My Word Coach,Wii,Misc,0.51,68.0,E,0
The BIGS,PS2,Sports,0.51,71.0,E,0
Zoids Assault,X360,Strategy,0.09,46.0,T,0
Ratatouille,PS3,Action,0.51,55.0,E,0
WipEout Pulse,PSP,Racing,0.31,82.0,E10+,0
Lair,PS3,Action,0.51,53.0,T,0
NBA 08,PS2,Sports,0.13,59.0,E,0
Puzzle de Harvest Moon,DS,Puzzle,0.13,41.0,E,0
Manhunt 2,PSP,Action,0.31,69.0,M,0
El Tigre: The Adventures of Manny Rivera,DS,Platform,0.09,53.0,E,0
Silent Hill: Origins,PSP,Action,0.52,78.0,M,0
Summon Night: Twin Age,DS,Role-Playing,0.13,73.0,E10+,0
NBA Live 08,X360,Sports,0.52,73.0,E,0
The Golden Compass,PS2,Action,0.52,46.0,E10+,0
NBA Street Homecourt,X360,Sports,0.5,80.0,E,0
Stuntman: Ignition,PS3,Racing,0.52,76.0,T,0
Baroque,PS2,Role-Playing,0.13,60.0,T,0
NHL 2K8,PS3,Sports,0.09,74.0,E10+,0
The Sims 2: Pets,Wii,Simulation,0.47,65.0,T,0
Impossible Mission,DS,Platform,0.12,61.0,E,0
Eternal Sonata,X360,Role-Playing,0.32,79.0,T,0
Halo 2,PC,Shooter,0.09,72.0,M,0
Dance Dance Revolution Universe,X360,Simulation,0.32,74.0,E10+,0
Need for Speed: ProStreet,DS,Racing,0.12,74.0,E,0
"Warhammer 40,000: Squad Command",PSP,Strategy,0.32,67.0,T,0
Medal of Honor: Vanguard,Wii,Shooter,0.09,56.0,T,0
Beautiful Katamari,X360,Puzzle,0.32,73.0,E,0
Spider-Man 3,Wii,Platform,0.47,53.0,T,0
Code Lyoko: Quest for Infinity,Wii,Action,0.09,58.0,E10+,0
Dynasty Warriors Gundam,PS3,Action,0.47,60.0,T,0
Crash of the Titans,DS,Action,0.48,73.0,E,0
Scene It? Lights Camera Action,X360,Misc,0.48,73.0,T,0
NCAA March Madness 08,PS3,Sports,0.09,67.0,E,0
InuYasha: Secret of the Divine Jewel,DS,Role-Playing,0.09,46.0,E10+,0
Shrek the Third,PS2,Action,0.48,56.0,E10+,0
Atari Classics Evolved,PSP,Misc,0.09,64.0,E,0
Ultimate Mortal Kombat,DS,Fighting,0.09,73.0,M,0
Fire Emblem: Radiant Dawn,Wii,Strategy,0.49,78.0,E10+,0
Folklore,PS3,Role-Playing,0.32,75.0,T,0
Boogie,Wii,Misc,0.49,57.0,E10+,0
Jenga World Tour,DS,Misc,0.09,32.0,E,0
Indianapolis 500 Legends,Wii,Racing,0.13,47.0,E,0
Hour of Victory,X360,Shooter,0.13,37.0,T,0
Beowulf: The Game,PSP,Action,0.09,44.0,M,0
Shadowrun,X360,Role-Playing,0.47,66.0,M,0
Samurai Warriors 2: Xtreme Legends,PS2,Action,0.09,50.0,T,0
Tom Clancy's Ghost Recon Advanced Warfighter 2,PSP,Shooter,0.53,61.0,T,0
Spider-Man 3,X360,Platform,0.57,63.0,T,0
Spider-Man: Friend or Foe,X360,Action,0.29,60.0,E10+,0
Looney Tunes: Acme Arsenal,X360,Action,0.08,40.0,E10+,0
Blacksite: Area 51,X360,Shooter,0.57,62.0,T,0
Disney's Meet the Robinsons,X360,Action,0.08,65.0,E10+,0
Crush,PSP,Puzzle,0.08,83.0,E10+,0
Fatal Inertia,X360,Racing,0.13,61.0,E10+,0
7 Wonders of the Ancient World,PSP,Puzzle,0.08,51.0,E,0
Final Fantasy Anniversary Edition,PSP,Role-Playing,0.58,67.0,E10+,0
Brain Assist,DS,Misc,0.13,53.0,E,0
World Series of Poker 2008: Battle for the Bracelets,X360,Misc,0.08,74.0,T,0
SimCity DS,DS,Simulation,0.6,69.0,E,0
Major League Baseball 2K7,PS2,Sports,0.6,71.0,E,0
John Deere: Harvest in the Heartland,DS,Simulation,0.29,43.0,E,0
NHL 2K8,X360,Sports,0.13,71.0,E10+,0
Prince of Persia: Rival Swords,Wii,Action,0.29,70.0,T,0
Alien Syndrome,PSP,Role-Playing,0.08,51.0,T,0
The Golden Compass,DS,Action,0.6,43.0,E10+,0
Madden NFL 08,XB,Sports,0.29,76.0,E,0
Trauma Center: New Blood,Wii,Simulation,0.29,77.0,T,0
NBA 2K8,PS2,Sports,0.6,72.0,E,0
Madden NFL 08,GC,Sports,0.08,75.0,E,0
Puchi Puchi Virus,DS,Puzzle,0.08,73.0,E,0
MLB Power Pros,Wii,Sports,0.29,83.0,E,0
Cosmic Family,Wii,Misc,0.08,54.0,E,0
Harry Potter and the Order of the Phoenix,X360,Action,0.29,68.0,E10+,0
Major League Baseball 2K7,PSP,Sports,0.09,61.0,E,0
Tomb Raider: Anniversary,PSP,Action,0.57,78.0,T,0
Ninjabread Man,Wii,Action,0.08,20.0,E,0
NBA Live 08,PSP,Sports,0.31,73.0,E,0
F.E.A.R. Files,X360,Shooter,0.09,66.0,M,0
Indianapolis 500 Legends,DS,Racing,0.09,51.0,E,0
Contra 4,DS,Shooter,0.3,83.0,T,0
Manhunt 2,Wii,Action,0.53,62.0,M,0
NCAA Football 08,XB,Sports,0.08,82.0,E,0
America's Army: True Soldiers,X360,Shooter,0.08,43.0,T,0
Hotel Dusk: Room 215,DS,Adventure,0.54,78.0,T,0
Tiger Woods PGA Tour 08,X360,Sports,0.54,80.0,E,0
Blacksite: Area 51,PS3,Shooter,0.08,56.0,T,0
Looney Tunes: Duck Amuck,DS,Action,0.3,66.0,E,0
Purr Pals,DS,Simulation,0.55,67.0,E,0
Final Fantasy XI: Wings of the Goddess,X360,Role-Playing,0.3,63.0,T,0
NBA 2K8,PS3,Sports,0.55,81.0,E,0
Stranglehold,PS3,Shooter,0.3,77.0,M,0
No More Heroes,Wii,Action,0.55,83.0,M,0
Dynasty Warriors 6,X360,Action,0.3,60.0,T,0
NBA 08,PS3,Sports,0.13,63.0,E,0
Death Jr. and the Science Fair of Doom,DS,Platform,0.08,47.0,E10+,0
TMNT,X360,Action,0.56,58.0,E10+,0
Anno 1701: Dawn of Discovery,DS,Simulation,0.13,78.0,E,0
Tony Hawk's Proving Ground,X360,Sports,0.56,72.0,T,0
Manhunt 2,PS2,Action,0.56,67.0,M,0
NCAA March Madness 07,PS2,Sports,0.56,63.0,E,0
Odin Sphere,PS2,Role-Playing,0.56,83.0,T,0
Spider-Man 3,PSP,Platform,0.3,52.0,T,0
Crazy Taxi: Fare Wars,PSP,Racing,0.47,64.0,E10+,0
Bladestorm: The Hundred Years' War,X360,Action,0.09,63.0,T,0
Puzzle Quest: Challenge of the Warlords,PS2,Puzzle,0.12,78.0,E10+,0
Smash Court Tennis 3,X360,Sports,0.11,55.0,E,0
Touch Detective 2 1/2,DS,Adventure,0.11,67.0,E,0
Juiced 2: Hot Import Nights,PS2,Racing,0.39,66.0,T,0
Fantastic Four: Rise of the Silver Surfer,PS2,Action,0.39,36.0,T,0
Tomb Raider: Anniversary,X360,Action,0.39,77.0,T,0
College Hoops 2K8,PS2,Sports,0.35,66.0,E,0
Chicken Shoot,Wii,Action,0.35,27.0,E10+,0
Naruto: Path of the Ninja,DS,Role-Playing,0.4,57.0,E10+,0
The BIGS,PSP,Sports,0.11,72.0,E,0
Marvel Trading Card Game,DS,Misc,0.12,61.0,T,0
Tetris Evolution,X360,Puzzle,0.11,52.0,E,0
Overlord,X360,Strategy,0.4,76.0,T,0
Beowulf: The Game,X360,Action,0.4,51.0,M,0
FlatOut: Ultimate Carnage,X360,Racing,0.11,80.0,T,0
Rocky Balboa,PSP,Sports,0.1,58.0,T,0
Def Jam Icon,X360,Action,0.34,69.0,M,0
NiGHTS: Journey of Dreams,Wii,Platform,0.41,69.0,E,0
Cruis'n,Wii,Racing,0.12,25.0,E,0
Medal of Honor Heroes 2,Wii,Shooter,0.41,73.0,T,0
BioShock,PC,Shooter,0.41,96.0,M,0
Cars: Mater-National Championship,PS3,Racing,0.41,63.0,E,0
Pirates of the Caribbean: At World's End,DS,Action,0.34,66.0,E10+,0
MX vs. ATV Untamed,DS,Racing,0.12,61.0,E,0
300: March to Glory,PSP,Action,0.41,55.0,M,0
Battalion Wars 2,Wii,Strategy,0.34,75.0,T,0
Tiger Woods PGA Tour 08,PS2,Sports,0.39,65.0,E,0
Castlevania: The Dracula X Chronicles,PSP,Platform,0.41,80.0,T,0
Worms: Open Warfare 2,DS,Strategy,0.35,81.0,E10+,0
NCAA Football 08,PS3,Sports,0.38,77.0,E,0
The Sims 2: Castaway,PS2,Simulation,0.37,71.0,T,0
Harry Potter and the Order of the Phoenix,PSP,Action,0.37,52.0,E10+,0
The Legend of Spyro: The Eternal Night,DS,Platform,0.37,56.0,E,0
Super Swing Golf Season 2,Wii,Sports,0.11,70.0,E10+,0
Juiced 2: Hot Import Nights,PSP,Racing,0.37,73.0,T,0
Monster Madness: Battle for Suburbia,X360,Shooter,0.11,55.0,T,0
The BIGS,Wii,Sports,0.37,66.0,E,0
Fantastic Four: Rise of the Silver Surfer,X360,Action,0.11,45.0,T,0
Skate,PS3,Sports,0.37,85.0,T,0
Spider-Man: Friend or Foe,PS2,Action,0.37,62.0,E10+,0
Kingdom Under Fire: Circle of Doom,X360,Role-Playing,0.37,55.0,M,0
TMNT,PSP,Action,0.11,37.0,E10+,0
MLB Power Pros,PS2,Sports,0.11,80.0,E,0
Tiger Woods PGA Tour 08,PSP,Sports,0.38,72.0,E,0
Retro Game Challenge,DS,Action,0.11,77.0,E,0
TMNT,Wii,Action,0.36,60.0,E10+,0
The Dog Island,Wii,Adventure,0.38,70.0,E,0
Jake Hunter Detective Story: Memories of the Past,DS,Adventure,0.11,72.0,T,0
Dokapon Kingdom,PS2,Role-Playing,0.11,61.0,E10+,0
The Settlers,DS,Action,0.11,39.0,E,0
MX vs. ATV Untamed,PS2,Racing,0.38,53.0,E,0
Tamagotchi Connection: Corner Shop 3,DS,Simulation,0.38,57.0,E,0
Guitar Rock Tour,DS,Misc,0.11,60.0,E10+,0
Brunswick Pro Bowling,Wii,Sports,0.38,52.0,E,0
Cake Mania,DS,Puzzle,0.11,55.0,E,0
Looney Tunes: Acme Arsenal,PS2,Action,0.38,38.0,E10+,0
TimeShift,X360,Shooter,0.41,70.0,M,0
Crash of the Titans,PS2,Action,0.41,70.0,E10+,0
Thrillville: Off the Rails,PSP,Strategy,0.1,72.0,E10+,0
Opoona,Wii,Role-Playing,0.1,65.0,E10+,0
MotoGP 07,PS2,Racing,0.1,62.0,E,0
Sega Rally Revo,X360,Racing,0.45,77.0,E,0
Bee Movie Game,DS,Action,0.45,58.0,E,0
Planet Puzzle League,DS,Puzzle,0.33,86.0,E,0
Naruto: Rise of a Ninja,X360,Action,0.33,78.0,T,0
Pirates of the Caribbean: At World's End,Wii,Action,0.45,53.0,T,0
Shining Force EXA,PS2,Role-Playing,0.1,64.0,E10+,0
Etrian Odyssey,DS,Role-Playing,0.33,75.0,T,0
Crash of the Titans,Wii,Action,0.45,69.0,E10+,0
Burnout Dominator,PSP,Racing,0.45,76.0,E10+,0
The New York Times Crosswords,DS,Puzzle,0.45,79.0,T,0
Heatseeker,Wii,Action,0.1,62.0,T,0
The Golden Compass,X360,Action,0.46,41.0,E10+,0
SSX Blur,Wii,Sports,0.33,74.0,E,0
MX vs. ATV Untamed,PS3,Racing,0.46,67.0,E,0
Crayola: Treasure Adventures,DS,Puzzle,0.46,65.0,E,0
SingStar Amped,PS2,Misc,0.46,76.0,T,0
Syphon Filter: Logan's Shadow,PSP,Shooter,0.46,85.0,T,0
EA Playground,DS,Sports,0.33,60.0,E,0
Star Trek: Conquest,Wii,Strategy,0.12,49.0,E,0
Harry Potter and the Order of the Phoenix,Wii,Action,0.46,69.0,E10+,0
Spider-Man 3,DS,Platform,0.47,79.0,E10+,0
Glory Days 2,DS,Strategy,0.09,73.0,E10+,0
Spider-Man: Friend or Foe,DS,Action,0.47,55.0,E10+,0
Horse Life,DS,Simulation,0.12,68.0,E,0
World Series of Poker 2008: Battle for the Bracelets,PS3,Misc,0.1,75.0,T,0
Geometry Wars: Galaxies,Wii,Shooter,0.12,80.0,E,0
Bee Movie Game,Wii,Action,0.33,62.0,E,0
Pirates of the Caribbean: At World's End,PS2,Action,0.42,54.0,T,0
Brooktown High: Senior Year,PSP,Simulation,0.1,51.0,T,0
Thrillville: Off the Rails,PS2,Strategy,0.42,70.0,E10+,0
Pirates of the Caribbean: At World's End,PSP,Action,0.42,61.0,T,0
Conan,PS3,Action,0.34,69.0,M,0
Hot Wheels Ultimate Racing,PSP,Action,0.1,60.0,E,0
The Legend of Spyro: The Eternal Night,PS2,Platform,0.42,54.0,E10+,0
Def Jam Icon,PS3,Action,0.42,68.0,M,0
PictoImage,DS,Puzzle,0.1,61.0,E,0
Puzzle Quest: Challenge of the Warlords,DS,Puzzle,0.34,82.0,E10+,0
Surf's Up,X360,Sports,0.1,61.0,E10+,0
Pirates of the Caribbean: At World's End,X360,Action,0.34,58.0,T,0
Puzzle Quest: Challenge of the Warlords,Wii,Puzzle,0.29,71.0,E10+,0
The Eye of Judgment,PS3,Misc,0.33,75.0,T,0
Draglade,DS,Fighting,0.1,71.0,E10+,0
Mega Man ZX Advent,DS,Platform,0.33,78.0,E10+,0
Bee Movie Game,PS2,Action,0.1,65.0,E,0
Nicktoons: Attack of the Toybots,Wii,Platform,0.43,60.0,E,0
WWE SmackDown vs Raw 2008,DS,Fighting,0.12,61.0,T,0
Master of the Monster Lair,DS,Role-Playing,0.1,56.0,E10+,0
Thrillville: Off the Rails,Wii,Strategy,0.44,70.0,E10+,0
The Darkness,X360,Shooter,0.44,82.0,M,0
Myst,DS,Adventure,0.1,43.0,E,0
Godzilla Unleashed: Double Smash,DS,Action,0.12,28.0,E,0
Tony Hawk's Proving Ground,PS3,Sports,0.44,73.0,T,0
Worms: Open Warfare 2,PSP,Strategy,0.44,80.0,E10+,0
My Spanish Coach,DS,Misc,0.43,73.0,E,0
Surf's Up,PS2,Sports,0.29,60.0,E10+,0
F.E.A.R.,PS3,Shooter,0.54,72.0,M,0
Warriors Orochi,PS2,Action,0.87,55.0,T,0
Two Worlds,X360,Role-Playing,0.7,50.0,M,0
Battlestations: Midway,X360,Strategy,0.26,73.0,T,0
Time Crisis 4,PS3,Shooter,0.83,60.0,T,0
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,Role-Playing,0.7,65.0,T,0
The History Channel: Battle for the Pacific,X360,Shooter,0.06,35.0,T,0
Fatal Fury: Battle Archives Volume 2,PS2,Fighting,0.07,70.0,T,0
Dynasty Warriors 6,PS3,Action,0.71,59.0,T,0
Victorious Boxers: Revolution,Wii,Fighting,0.14,59.0,T,0
Madden NFL 08,PSP,Sports,0.71,75.0,E,0
The Sims 2: Castaway,DS,Simulation,0.71,66.0,E,0
Harvest Moon: Tree of Tranquility,Wii,Simulation,0.82,65.0,E,0
Crysis,PC,Shooter,0.71,91.0,M,0
College Hoops 2K8,PS3,Sports,0.14,82.0,E,0
Ben 10: Protector of Earth,PSP,Action,0.71,60.0,E10+,0
Skate,X360,Sports,0.71,86.0,T,0
Wild ARMs XF,PSP,Role-Playing,0.14,64.0,E10+,0
I Spy: Fun House,DS,Puzzle,0.82,53.0,E,0
Stranglehold,X360,Shooter,0.82,77.0,M,0
Patapon,PSP,Misc,0.81,86.0,E,0
Blazing Angels: Squadrons of WWII,Wii,Simulation,0.83,57.0,T,0
NCAA Football 08,X360,Sports,0.7,81.0,E,0
N+,DS,Platform,0.07,82.0,E,0
Virtua Fighter 5 Online,X360,Fighting,0.28,89.0,T,0
SingStar '90s,PS2,Misc,0.87,73.0,T,0
Geometry Wars: Galaxies,DS,Shooter,0.14,79.0,E,0
Hot Shots Golf: Open Tee 2,PSP,Sports,0.68,82.0,E,0
Tomb Raider: Anniversary,Wii,Action,0.85,73.0,T,0
The Sims 2: Seasons,PC,Simulation,0.07,78.0,T,0
Heroes of Mana,DS,Strategy,0.14,66.0,E10+,0
Hard Rock Casino,PSP,Misc,0.14,44.0,T,0
NBA 2K8,X360,Sports,0.85,81.0,E,0
Dynasty Warriors DS: Fighter's Battle,DS,Action,0.07,56.0,E10+,0
Major League Baseball 2K7,X360,Sports,0.72,79.0,E,0
S.T.A.L.K.E.R.: Shadow of Chernobyl,PC,Shooter,0.06,82.0,M,0
Operation: Vietnam,DS,Shooter,0.07,65.0,T,0
Ratatouille,PS2,Action,0.85,65.0,E,0
Tiger Woods PGA Tour 08,DS,Sports,0.06,81.0,E,0
Mana Khemia: Alchemists of Al-Revis,PS2,Role-Playing,0.06,69.0,E10+,0
Metal Gear Solid: Portable Ops Plus,PSP,Action,0.69,65.0,T,0
Anubis II,Wii,Platform,0.07,19.0,E,0
Ultimate Board Game Collection,PSP,Misc,0.07,57.0,E,0
Blazing Angels 2: Secret Missions of WWII,X360,Simulation,0.14,72.0,T,0
Dragoneer's Aria,PSP,Role-Playing,0.07,56.0,E10+,0
MX vs. ATV Untamed,X360,Racing,0.68,70.0,E,0
NBA Live 08,PS2,Sports,0.72,68.0,E,0
Harvest Moon DS: Island of Happiness,DS,Simulation,0.72,65.0,E,0
Lost in Blue 2,DS,Adventure,0.06,58.0,E10+,0
Showtime Championship Boxing,Wii,Fighting,0.06,35.0,E10+,0
The Orange Box,PC,Shooter,0.14,96.0,M,0
NCAA Football 08,PS2,Sports,0.79,83.0,E,0
Ratatouille,X360,Action,0.27,56.0,E,0
Super Collapse! 3,DS,Puzzle,0.27,71.0,E,0
The Sims 2: Castaway,PSP,Simulation,0.79,64.0,E10+,0
Bomberman Land,PSP,Misc,0.06,55.0,E,0
Harry Potter and the Order of the Phoenix,PS2,Action,0.27,61.0,E10+,0
Stuntman: Ignition,PS2,Racing,0.27,71.0,T,0
Octomania,Wii,Puzzle,0.06,66.0,E,0
Cabela's Big Game Hunter (2008),X360,Sports,0.06,51.0,T,0
Arkanoid DS,DS,Puzzle,0.06,61.0,E,0
Unreal Tournament III,PC,Shooter,0.06,83.0,M,0
The BIGS,X360,Sports,0.27,79.0,E,0
Cranium Kabookii,Wii,Misc,0.14,64.0,E,0
Alien Syndrome,Wii,Role-Playing,0.06,48.0,T,0
Arctic Tale,DS,Adventure,0.14,38.0,E,0
The World Ends With You,DS,Role-Playing,0.78,88.0,T,0
Drawn to Life,DS,Action,0.78,73.0,E,0
Theme Park,DS,Simulation,0.06,72.0,E,0
Ghost Squad,Wii,Shooter,0.77,69.0,T,0
Cars: Mater-National Championship,DS,Racing,0.68,69.0,E,0
"Warhammer 40,000: Squad Command",DS,Strategy,0.06,57.0,T,0
Boogie,DS,Misc,0.27,58.0,E10+,0
Age of Empires III: The Asian Dynasties,PC,Strategy,0.06,81.0,T,0
Tiger Woods PGA Tour 08,PS3,Sports,0.73,79.0,E,0
Pirates of the Caribbean: At World's End,PS3,Action,0.73,55.0,T,0
Warriors of the Lost Empire,PSP,Role-Playing,0.06,52.0,T,0
Rayman Raving Rabbids 2,DS,Misc,0.8,57.0,E10+,0
Namco Museum Remix,Wii,Misc,0.74,49.0,E,0
Showtime Championship Boxing,DS,Fighting,0.06,33.0,E10+,0
The Warriors,PSP,Action,0.27,81.0,M,0
Tom Clancy's Rainbow Six: Vegas,PSP,Shooter,0.74,60.0,T,0
Donkey Kong Barrel Blast,Wii,Racing,0.62,46.0,E,0
Fish Tycoon,DS,Simulation,0.26,46.0,E,0
Disney's Kim Possible: Global Gemini,DS,Platform,0.06,70.0,E,0
Chicken Shoot,DS,Action,0.14,19.0,E10+,0
Spectrobes,DS,Role-Playing,0.74,63.0,E,0
Dance Dance Revolution SuperNOVA 2,PS2,Simulation,0.79,70.0,E10+,0
